split_type,client_id,train_samples,test_samples,train_anomaly_rate,test_anomaly_rate,train_anomaly_types,test_anomaly_types
temporal,0,10482,2621,0.686414806334669,0.7214803510110644,"{'dropout': 1279, 'spike': 104, 'infusion_failure': 2685, 'sensor_drift': 5119, 'intermittent_noise': 1139, 'prolonged_bias': 2326}","{'dropout': 329, 'spike': 26, 'infusion_failure': 662, 'sensor_drift': 1316, 'intermittent_noise': 306, 'prolonged_bias': 589}"
temporal,1,9664,2416,0.7093336092715232,0.6738410596026491,"{'dropout': 1267, 'spike': 96, 'infusion_failure': 2403, 'sensor_drift': 4988, 'intermittent_noise': 1032, 'prolonged_bias': 2172}","{'dropout': 320, 'spike': 24, 'infusion_failure': 656, 'sensor_drift': 1233, 'intermittent_noise': 213, 'prolonged_bias': 535}"
temporal,2,9288,2323,0.7013350559862188,0.7326732673267327,"{'dropout': 1195, 'spike': 92, 'infusion_failure': 2402, 'sensor_drift': 4846, 'intermittent_noise': 1034, 'prolonged_bias': 2038}","{'dropout': 269, 'spike': 23, 'infusion_failure': 522, 'sensor_drift': 1254, 'intermittent_noise': 260, 'prolonged_bias': 516}"
temporal,3,10204,2551,0.7220697765582125,0.720109760878087,"{'dropout': 1372, 'spike': 102, 'infusion_failure': 2686, 'sensor_drift': 5307, 'intermittent_noise': 1130, 'prolonged_bias': 2150}","{'dropout': 318, 'spike': 25, 'infusion_failure': 680, 'sensor_drift': 1254, 'intermittent_noise': 276, 'prolonged_bias': 517}"
temporal,4,20961,5241,0.6837937121320548,0.681740125930166,"{'dropout': 2649, 'spike': 209, 'infusion_failure': 5356, 'sensor_drift': 9867, 'intermittent_noise': 2208, 'prolonged_bias': 4618}","{'dropout': 700, 'spike': 52, 'infusion_failure': 1284, 'sensor_drift': 2438, 'intermittent_noise': 607, 'prolonged_bias': 1138}"
patient_based,0,62648,13103,0.7049227429447069,0.7105243074105166,"{'dropout': 7758, 'spike': 626, 'infusion_failure': 15998, 'sensor_drift': 30442, 'intermittent_noise': 6922, 'prolonged_bias': 13617}","{'dropout': 1623, 'spike': 131, 'infusion_failure': 3654, 'sensor_drift': 6567, 'intermittent_noise': 1358, 'prolonged_bias': 2864}"
patient_based,1,63671,12080,0.6961882175558731,0.7035596026490066,"{'dropout': 8173, 'spike': 636, 'infusion_failure': 16695, 'sensor_drift': 31436, 'intermittent_noise': 6964, 'prolonged_bias': 14061}","{'dropout': 1604, 'spike': 120, 'infusion_failure': 2964, 'sensor_drift': 6127, 'intermittent_noise': 1379, 'prolonged_bias': 2671}"
patient_based,2,64140,11611,0.7032584970377299,0.7084661097235381,"{'dropout': 7975, 'spike': 641, 'infusion_failure': 16687, 'sensor_drift': 32032, 'intermittent_noise': 6961, 'prolonged_bias': 14141}","{'dropout': 1504, 'spike': 116, 'infusion_failure': 3021, 'sensor_drift': 5628, 'intermittent_noise': 1194, 'prolonged_bias': 2482}"
patient_based,3,62996,12755,0.696806146421995,0.7029400235201881,"{'dropout': 7976, 'spike': 629, 'infusion_failure': 16758, 'sensor_drift': 31025, 'intermittent_noise': 6883, 'prolonged_bias': 13746}","{'dropout': 1613, 'spike': 127, 'infusion_failure': 3061, 'sensor_drift': 6526, 'intermittent_noise': 1314, 'prolonged_bias': 2928}"
patient_based,4,49549,26202,0.6984399281519305,0.7031905961376994,"{'dropout': 6320, 'spike': 495, 'infusion_failure': 12470, 'sensor_drift': 23902, 'intermittent_noise': 5342, 'prolonged_bias': 10556}","{'dropout': 3371, 'spike': 262, 'infusion_failure': 6925, 'sensor_drift': 12811, 'intermittent_noise': 2856, 'prolonged_bias': 5835}"
