split_type,client_id,train_samples,test_samples,train_anomaly_rate,test_anomaly_rate,train_anomaly_types,test_anomaly_types
temporal,0,10482,2621,0.7587292501431024,0.7737504769172072,"{'dropout': 1393, 'spikes': 104, 'infusion_failure': 2586, 'sensor_drift': 4753, 'intermittent_noise': 1159, 'prolonged_bias': 2348}","{'dropout': 317, 'spikes': 26, 'infusion_failure': 626, 'sensor_drift': 1233, 'intermittent_noise': 256, 'prolonged_bias': 574}"
temporal,1,9664,2416,0.7680049668874173,0.7437913907284768,"{'dropout': 1139, 'spikes': 96, 'infusion_failure': 2484, 'sensor_drift': 4605, 'intermittent_noise': 1054, 'prolonged_bias': 2102}","{'dropout': 323, 'spikes': 24, 'infusion_failure': 717, 'sensor_drift': 1161, 'intermittent_noise': 252, 'prolonged_bias': 547}"
temporal,2,9288,2323,0.7492463393626184,0.782608695652174,"{'dropout': 1116, 'spikes': 92, 'infusion_failure': 2290, 'sensor_drift': 4438, 'intermittent_noise': 994, 'prolonged_bias': 2064}","{'dropout': 278, 'spikes': 23, 'infusion_failure': 488, 'sensor_drift': 1179, 'intermittent_noise': 243, 'prolonged_bias': 461}"
temporal,3,10204,2551,0.7751862014896119,0.7224617796942375,"{'dropout': 1345, 'spikes': 102, 'infusion_failure': 2572, 'sensor_drift': 4931, 'intermittent_noise': 1069, 'prolonged_bias': 2208}","{'dropout': 379, 'spikes': 25, 'infusion_failure': 644, 'sensor_drift': 1055, 'intermittent_noise': 283, 'prolonged_bias': 495}"
temporal,4,20961,5241,0.7672343876723439,0.7395535203205496,"{'dropout': 2539, 'spikes': 209, 'infusion_failure': 5516, 'sensor_drift': 10163, 'intermittent_noise': 2282, 'prolonged_bias': 4444}","{'dropout': 631, 'spikes': 52, 'infusion_failure': 1262, 'sensor_drift': 2252, 'intermittent_noise': 545, 'prolonged_bias': 1095}"
patient_based,0,62648,13103,0.7807910867066786,0.7373883843394643,"{'dropout': 7992, 'spikes': 626, 'infusion_failure': 15983, 'sensor_drift': 30188, 'intermittent_noise': 6817, 'prolonged_bias': 13834}","{'dropout': 1796, 'spikes': 131, 'infusion_failure': 3300, 'sensor_drift': 6097, 'intermittent_noise': 1411, 'prolonged_bias': 2857}"
patient_based,1,63671,12080,0.7669111526440608,0.7716059602649007,"{'dropout': 8319, 'spikes': 636, 'infusion_failure': 16148, 'sensor_drift': 29727, 'intermittent_noise': 7016, 'prolonged_bias': 13705}","{'dropout': 1459, 'spikes': 120, 'infusion_failure': 3088, 'sensor_drift': 5650, 'intermittent_noise': 1276, 'prolonged_bias': 2655}"
patient_based,2,64140,11611,0.7643280324290614,0.7759882869692533,"{'dropout': 8124, 'spikes': 641, 'infusion_failure': 15980, 'sensor_drift': 31150, 'intermittent_noise': 6742, 'prolonged_bias': 13857}","{'dropout': 1513, 'spikes': 116, 'infusion_failure': 2843, 'sensor_drift': 5815, 'intermittent_noise': 1205, 'prolonged_bias': 2612}"
patient_based,3,62996,12755,0.7629214553304972,0.760172481379851,"{'dropout': 7837, 'spikes': 629, 'infusion_failure': 15968, 'sensor_drift': 29610, 'intermittent_noise': 6770, 'prolonged_bias': 13670}","{'dropout': 1604, 'spikes': 127, 'infusion_failure': 3274, 'sensor_drift': 6297, 'intermittent_noise': 1395, 'prolonged_bias': 2773}"
patient_based,4,49549,26202,0.7651213949827443,0.7537210899931303,"{'dropout': 6301, 'spikes': 495, 'infusion_failure': 12233, 'sensor_drift': 23132, 'intermittent_noise': 5421, 'prolonged_bias': 10880}","{'dropout': 3198, 'spikes': 262, 'infusion_failure': 6574, 'sensor_drift': 11965, 'intermittent_noise': 2755, 'prolonged_bias': 5692}"
