split_type,client_id,train_samples,test_samples,train_anomaly_rate,test_anomaly_rate,train_anomaly_types,test_anomaly_types
temporal,0,10482,2621,0.049608853272276286,0.048836322014498286,"{'dropout': 78, 'spikes': 104, 'infusion_failure': 78, 'sensor_drift': 104, 'intermittent_noise': 78, 'prolonged_bias': 78}","{'dropout': 19, 'spikes': 26, 'infusion_failure': 19, 'sensor_drift': 26, 'intermittent_noise': 19, 'prolonged_bias': 19}"
temporal,1,9664,2416,0.04966887417218543,0.04966887417218543,"{'dropout': 72, 'spikes': 96, 'infusion_failure': 72, 'sensor_drift': 96, 'intermittent_noise': 72, 'prolonged_bias': 72}","{'dropout': 18, 'spikes': 24, 'infusion_failure': 18, 'sensor_drift': 24, 'intermittent_noise': 18, 'prolonged_bias': 18}"
temporal,2,9288,2323,0.04952627045650301,0.04907447266465777,"{'dropout': 69, 'spikes': 92, 'infusion_failure': 69, 'sensor_drift': 92, 'intermittent_noise': 69, 'prolonged_bias': 69}","{'dropout': 17, 'spikes': 23, 'infusion_failure': 17, 'sensor_drift': 23, 'intermittent_noise': 17, 'prolonged_bias': 17}"
temporal,3,10204,2551,0.0497843982751862,0.04939239513916111,"{'dropout': 76, 'spikes': 102, 'infusion_failure': 76, 'sensor_drift': 102, 'intermittent_noise': 76, 'prolonged_bias': 76}","{'dropout': 19, 'spikes': 25, 'infusion_failure': 19, 'sensor_drift': 25, 'intermittent_noise': 19, 'prolonged_bias': 19}"
temporal,4,20961,5241,0.049902199322551404,0.049608853272276286,"{'dropout': 157, 'spikes': 209, 'infusion_failure': 157, 'sensor_drift': 209, 'intermittent_noise': 157, 'prolonged_bias': 157}","{'dropout': 39, 'spikes': 52, 'infusion_failure': 39, 'sensor_drift': 52, 'intermittent_noise': 39, 'prolonged_bias': 39}"
patient_based,0,62648,13103,0.04992976631336994,0.04991223383957872,"{'dropout': 469, 'spikes': 626, 'infusion_failure': 469, 'sensor_drift': 626, 'intermittent_noise': 469, 'prolonged_bias': 469}","{'dropout': 98, 'spikes': 131, 'infusion_failure': 98, 'sensor_drift': 131, 'intermittent_noise': 98, 'prolonged_bias': 98}"
patient_based,1,63671,12080,0.04994424463256428,0.04966887417218543,"{'dropout': 477, 'spikes': 636, 'infusion_failure': 477, 'sensor_drift': 636, 'intermittent_noise': 477, 'prolonged_bias': 477}","{'dropout': 90, 'spikes': 120, 'infusion_failure': 90, 'sensor_drift': 120, 'intermittent_noise': 90, 'prolonged_bias': 90}"
patient_based,2,64140,11611,0.04998440910508263,0.049952631125656705,"{'dropout': 481, 'spikes': 641, 'infusion_failure': 481, 'sensor_drift': 641, 'intermittent_noise': 481, 'prolonged_bias': 481}","{'dropout': 87, 'spikes': 116, 'infusion_failure': 87, 'sensor_drift': 116, 'intermittent_noise': 87, 'prolonged_bias': 87}"
patient_based,3,62996,12755,0.04993967870975935,0.049705997647981184,"{'dropout': 472, 'spikes': 629, 'infusion_failure': 472, 'sensor_drift': 629, 'intermittent_noise': 472, 'prolonged_bias': 472}","{'dropout': 95, 'spikes': 127, 'infusion_failure': 95, 'sensor_drift': 127, 'intermittent_noise': 95, 'prolonged_bias': 95}"
patient_based,4,49549,26202,0.049930371955034414,0.04991985344630181,"{'dropout': 371, 'spikes': 495, 'infusion_failure': 371, 'sensor_drift': 495, 'intermittent_noise': 371, 'prolonged_bias': 371}","{'dropout': 196, 'spikes': 262, 'infusion_failure': 196, 'sensor_drift': 262, 'intermittent_noise': 196, 'prolonged_bias': 196}"
