split_type,client,train_samples,test_samples,train_start,train_end,test_start,test_end,train_anomaly_rate,test_anomaly_rate
temporal,client_0,10482,2621,2021-11-17 12:04:00,2021-12-23 21:29:00,2021-12-23 21:34:00,2022-01-01 23:54:00,0.04798702537683648,0.05379626096909577
temporal,client_1,9664,2416,2021-12-07 01:17:00,2022-01-09 14:32:00,2022-01-09 14:37:00,2022-01-17 23:52:00,0.04946192052980133,0.046357615894039736
temporal,client_2,9288,2323,2021-12-07 16:29:00,2022-01-08 22:24:00,2022-01-08 22:29:00,2022-01-16 23:59:00,0.04963393626184324,0.04649160568230736
temporal,client_3,10204,2551,2021-11-30 17:06:00,2022-01-05 03:21:00,2022-01-05 03:26:00,2022-01-13 23:56:00,0.0497843982751862,0.04468835750686005
temporal,client_4,20961,5241,2021-08-30 11:53:00,2021-10-12 21:33:00,2021-10-12 21:33:00,2021-10-28 23:53:00,0.048948046371833406,0.04884564014501049
patient_based_LOCO,test_client_0,62648,13103,2021-08-30 11:53:00,2022-01-17 23:52:00,2021-11-17 12:04:00,2022-01-01 23:54:00,0.04889222321542587,0.04914904983591544
patient_based_LOCO,test_client_1,63671,12080,2021-08-30 11:53:00,2022-01-16 23:59:00,2021-12-07 01:17:00,2022-01-17 23:52:00,0.04895478318229649,0.048841059602649006
patient_based_LOCO,test_client_2,64140,11611,2021-08-30 11:53:00,2022-01-17 23:52:00,2021-12-07 16:29:00,2022-01-16 23:59:00,0.04892422825070159,0.049005253638790804
patient_based_LOCO,test_client_3,62996,12755,2021-08-30 11:53:00,2022-01-17 23:52:00,2021-11-30 17:06:00,2022-01-13 23:56:00,0.04897136326115944,0.048765190121520974
patient_based_LOCO,test_client_4,49549,26202,2021-11-17 12:04:00,2022-01-17 23:52:00,2021-08-30 11:53:00,2021-10-28 23:53:00,0.04894145189610285,0.048927562781467066
